Comment: ACERO: frecuencia: 34.450000E0
 Hz
Time (s),Voltage (V)
0.000000000000000000e+00,1.008522652126689456e+00
4.000000000000000327e-05,1.008358170838109968e+00
8.000000000000000654e-05,1.009509539858925553e+00
1.200000000000000030e-04,1.009345058570129128e+00
1.600000000000000131e-04,1.008522652126689456e+00
2.000000000000000096e-04,1.008851614703956789e+00
2.400000000000000061e-04,1.008851614703956789e+00
2.799999999999999755e-04,1.008358170838109968e+00
3.200000000000000262e-04,1.007864726972587999e+00
3.600000000000000227e-04,1.008358170838109968e+00
4.000000000000000192e-04,1.008029208261059129e+00
4.400000000000000157e-04,1.008358170838109968e+00
4.800000000000000122e-04,1.008029208261059129e+00
5.199999999999999544e-04,1.004904063786269619e+00
5.599999999999999509e-04,1.004904063786269619e+00
5.999999999999999474e-04,1.005561988937776263e+00
6.400000000000000524e-04,1.005397507649845590e+00
6.800000000000000488e-04,1.005233026361951110e+00
7.200000000000000453e-04,1.005890951513745524e+00
7.600000000000000418e-04,1.006055432801784333e+00
8.000000000000000383e-04,1.005561988937776263e+00
8.400000000000000348e-04,1.006219914089858891e+00
8.800000000000000313e-04,1.006548876666116366e+00
9.200000000000000278e-04,1.006384395377969643e+00
9.600000000000000243e-04,1.006877839242517947e+00
1.000000000000000021e-03,1.006713357954299282e+00
1.039999999999999909e-03,1.007042320530772805e+00
1.080000000000000014e-03,1.007371283107390658e+00
1.119999999999999902e-03,1.006877839242517947e+00
1.160000000000000007e-03,1.007864726972587999e+00
1.199999999999999895e-03,1.007700245684152840e+00
1.240000000000000000e-03,1.007700245684152840e+00
1.280000000000000105e-03,1.007206801819063635e+00
1.319999999999999993e-03,1.007535764395753652e+00
1.360000000000000098e-03,1.007206801819063635e+00
1.399999999999999986e-03,1.007700245684152840e+00
1.440000000000000091e-03,1.007371283107390658e+00
1.479999999999999979e-03,1.008193689549566452e+00
1.520000000000000084e-03,1.010496427592463276e+00
1.559999999999999972e-03,1.009838502436626761e+00
1.600000000000000077e-03,1.010331946303449913e+00
1.639999999999999965e-03,1.009509539858925553e+00
1.680000000000000070e-03,1.009016095992644857e+00
1.719999999999999958e-03,1.008851614703956789e+00
1.760000000000000063e-03,1.008851614703956789e+00
1.799999999999999951e-03,1.009838502436626761e+00
1.840000000000000056e-03,1.009509539858925553e+00
1.879999999999999944e-03,1.008522652126689456e+00
1.920000000000000049e-03,1.008851614703956789e+00
1.959999999999999937e-03,1.008522652126689456e+00
2.000000000000000042e-03,1.008358170838109968e+00
2.040000000000000147e-03,1.008358170838109968e+00
2.079999999999999818e-03,1.008193689549566452e+00
2.119999999999999923e-03,1.009016095992644857e+00
2.160000000000000028e-03,1.009345058570129128e+00
2.200000000000000133e-03,1.008687133415305137e+00
2.239999999999999804e-03,1.008687133415305137e+00
2.279999999999999909e-03,1.008029208261059129e+00
2.320000000000000014e-03,1.008029208261059129e+00
2.360000000000000119e-03,1.007864726972587999e+00
2.399999999999999790e-03,1.008193689549566452e+00
2.439999999999999895e-03,1.008029208261059129e+00
2.480000000000000000e-03,1.005233026361951110e+00
2.520000000000000104e-03,1.004739582498482831e+00
2.560000000000000209e-03,1.005068545074092379e+00
2.599999999999999881e-03,1.005726470225743130e+00
2.639999999999999986e-03,1.004904063786269619e+00
2.680000000000000090e-03,1.004410619923017167e+00
2.720000000000000195e-03,1.004410619923017167e+00
2.759999999999999867e-03,1.005561988937776263e+00
2.799999999999999972e-03,1.005233026361951110e+00
2.840000000000000076e-03,1.005397507649845590e+00
2.880000000000000181e-03,1.005726470225743130e+00
2.919999999999999853e-03,1.005561988937776263e+00
2.959999999999999958e-03,1.005561988937776263e+00
3.000000000000000062e-03,1.005726470225743130e+00
3.040000000000000167e-03,1.005397507649845590e+00
3.079999999999999839e-03,1.005726470225743130e+00
3.119999999999999944e-03,1.005890951513745524e+00
3.160000000000000048e-03,1.005890951513745524e+00
3.200000000000000153e-03,1.006548876666116366e+00
3.239999999999999825e-03,1.006384395377969643e+00
3.279999999999999930e-03,1.005726470225743130e+00
3.320000000000000034e-03,1.005890951513745524e+00
3.360000000000000139e-03,1.006384395377969643e+00
3.399999999999999811e-03,1.005890951513745524e+00
3.439999999999999915e-03,1.005561988937776263e+00
3.480000000000000020e-03,1.008029208261059129e+00
3.520000000000000125e-03,1.008522652126689456e+00
3.559999999999999797e-03,1.007700245684152840e+00
3.599999999999999901e-03,1.008029208261059129e+00
3.640000000000000006e-03,1.008029208261059129e+00
3.680000000000000111e-03,1.007206801819063635e+00
3.720000000000000216e-03,1.007371283107390658e+00
3.759999999999999887e-03,1.006877839242517947e+00
3.799999999999999992e-03,1.006548876666116366e+00
3.840000000000000097e-03,1.006548876666116366e+00
3.880000000000000202e-03,1.006548876666116366e+00
3.919999999999999873e-03,1.006055432801784333e+00
3.959999999999999978e-03,1.006219914089858891e+00
4.000000000000000083e-03,1.005397507649845590e+00
4.040000000000000188e-03,1.005068545074092379e+00
4.080000000000000293e-03,1.005233026361951110e+00
4.120000000000000398e-03,1.004575101210732013e+00
4.159999999999999636e-03,1.004575101210732013e+00
4.199999999999999740e-03,1.004904063786269619e+00
4.239999999999999845e-03,1.004575101210732013e+00
4.279999999999999950e-03,1.004739582498482831e+00
4.320000000000000055e-03,1.004575101210732013e+00
4.360000000000000160e-03,1.004410619923017167e+00
4.400000000000000265e-03,1.004246138635338070e+00
4.440000000000000370e-03,1.001614438037356836e+00
4.479999999999999608e-03,1.001614438037356836e+00
4.519999999999999712e-03,1.001285475463254526e+00
4.559999999999999817e-03,1.002107881898779196e+00
4.599999999999999922e-03,1.002601325760523743e+00
4.640000000000000027e-03,1.002272363185991555e+00
4.680000000000000132e-03,1.001614438037356836e+00
4.720000000000000237e-03,1.001943400611602586e+00
4.760000000000000342e-03,1.001614438037356836e+00
4.799999999999999580e-03,1.001943400611602586e+00
4.839999999999999684e-03,1.001943400611602586e+00
4.879999999999999789e-03,1.001778919324461725e+00
4.919999999999999894e-03,1.002107881898779196e+00
4.959999999999999999e-03,1.002436844473239663e+00
5.000000000000000104e-03,1.001449956750287917e+00
5.040000000000000209e-03,1.001943400611602586e+00
5.080000000000000314e-03,1.001943400611602586e+00
5.120000000000000419e-03,1.001614438037356836e+00
5.159999999999999656e-03,1.001778919324461725e+00
5.199999999999999761e-03,1.001943400611602586e+00
5.239999999999999866e-03,1.001449956750287917e+00
5.279999999999999971e-03,1.001614438037356836e+00
5.320000000000000076e-03,1.001285475463254526e+00
5.360000000000000181e-03,1.001449956750287917e+00
5.400000000000000286e-03,1.000956512889295436e+00
5.440000000000000391e-03,1.004081657347695167e+00
5.479999999999999628e-03,1.003752694772516829e+00
5.519999999999999733e-03,1.002436844473239663e+00
5.559999999999999838e-03,1.003094769622591143e+00
5.599999999999999943e-03,1.002436844473239663e+00
5.640000000000000048e-03,1.001614438037356836e+00
5.680000000000000153e-03,1.001943400611602586e+00
5.720000000000000258e-03,1.001778919324461725e+00
5.760000000000000363e-03,1.000792031602369736e+00
5.799999999999999600e-03,1.000956512889295436e+00
5.839999999999999705e-03,1.000627550315479564e+00
5.879999999999999810e-03,1.000298587741806688e+00
5.919999999999999915e-03,1.000134106455023986e+00
5.960000000000000020e-03,9.999696251682769210e-01
6.000000000000000125e-03,1.000956512889295436e+00
6.040000000000000230e-03,9.999696251682769210e-01
6.080000000000000335e-03,1.000627550315479564e+00
6.119999999999999572e-03,9.999696251682769210e-01
6.159999999999999677e-03,9.991472187350779466e-01
6.199999999999999782e-03,9.993117000216462653e-01
6.239999999999999887e-03,9.988182561620484456e-01
6.279999999999999992e-03,9.986537748755870414e-01
6.320000000000000097e-03,9.988182561620484456e-01
6.360000000000000202e-03,9.986537748755870414e-01
6.400000000000000307e-03,9.948707052968148723e-01
6.440000000000000412e-03,9.955286304395968289e-01
6.479999999999999649e-03,9.950351865824571540e-01
6.519999999999999754e-03,9.950351865824571540e-01
6.559999999999999859e-03,9.948707052968148723e-01
6.599999999999999964e-03,9.953641491538480768e-01
6.640000000000000069e-03,9.951996678681348518e-01
6.680000000000000174e-03,9.955286304395968289e-01
6.720000000000000279e-03,9.956931117253811081e-01
6.760000000000000384e-03,9.951996678681348518e-01
6.799999999999999621e-03,9.955286304395968289e-01
6.839999999999999726e-03,9.947062240112083398e-01
6.879999999999999831e-03,9.950351865824571540e-01
6.919999999999999936e-03,9.945417427256373344e-01
6.960000000000000041e-03,9.948707052968148723e-01
7.000000000000000146e-03,9.945417427256373344e-01
7.040000000000000251e-03,9.947062240112083398e-01
7.080000000000000356e-03,9.947062240112083398e-01
7.119999999999999593e-03,9.942127801546015720e-01
7.159999999999999698e-03,9.947062240112083398e-01
7.199999999999999803e-03,9.937193362983142153e-01
7.239999999999999908e-03,9.938838175837078071e-01
7.280000000000000013e-03,9.942127801546015720e-01
7.320000000000000118e-03,9.945417427256373344e-01
7.360000000000000223e-03,9.938838175837078071e-01
7.400000000000000328e-03,9.965155181548362995e-01
7.440000000000000432e-03,9.956931117253811081e-01
7.479999999999999670e-03,9.958575930112009145e-01
7.519999999999999775e-03,9.943772614401015231e-01
7.559999999999999880e-03,9.945417427256373344e-01
7.599999999999999985e-03,9.942127801546015720e-01
7.640000000000000090e-03,9.942127801546015720e-01
7.680000000000000195e-03,9.943772614401015231e-01
7.720000000000000299e-03,9.933903737276333912e-01
7.760000000000000404e-03,9.928969298718781644e-01
7.799999999999999642e-03,9.922390047313673911e-01
7.839999999999999747e-03,9.925679673015519455e-01
7.879999999999999852e-03,9.917455608763561248e-01
7.919999999999999957e-03,9.922390047313673911e-01
7.960000000000000062e-03,9.909231544520450408e-01
8.000000000000000167e-03,9.915810795914231646e-01
8.040000000000000271e-03,9.910876357368365586e-01
8.080000000000000376e-03,9.909231544520450408e-01
8.120000000000000481e-03,9.909231544520450408e-01
8.160000000000000586e-03,9.901007480286180273e-01
8.200000000000000691e-03,9.902652293132327976e-01
8.240000000000000796e-03,9.899362667440385621e-01
8.279999999999999166e-03,9.901007480286180273e-01
8.319999999999999271e-03,9.896073041749855470e-01
8.359999999999999376e-03,9.876335287636311966e-01
8.399999999999999481e-03,9.866466410598562220e-01
8.439999999999999586e-03,9.869756036276404743e-01
8.479999999999999691e-03,9.869756036276404743e-01
8.519999999999999796e-03,9.866466410598562220e-01
8.559999999999999901e-03,9.861531972084437436e-01
8.600000000000000006e-03,9.856597533573476788e-01
8.640000000000000110e-03,9.868111223437306956e-01
8.680000000000000215e-03,9.863176784922128570e-01
