Distance_(unit),Gray_Value
0.00000,3.333
0.00309,2.667
0.00619,2.667
0.00928,2.667
0.01238,2.667
0.01547,2.667
0.01857,2.667
0.02166,2.667
0.02475,2.667
0.02785,2.667
0.03094,2.667
0.03404,2.667
0.03713,2.667
0.04022,2.667
0.04332,2.667
0.04641,2.667
0.04951,1.673
0.05260,1.667
0.05570,1.667
0.05879,1.667
0.06188,1.667
0.06498,1.667
0.06807,1.667
0.07117,1.667
0.07426,1.667
0.07735,1.667
0.08045,1.667
0.08354,1.667
0.08664,1.667
0.08973,1.667
0.09283,1.667
0.09592,1.667
0.09901,2.653
0.10211,2.667
0.10520,2.667
0.10830,2.667
0.11139,2.667
0.11448,2.667
0.11758,2.667
0.12067,2.667
0.12377,2.667
0.12686,2.667
0.12996,2.667
0.13305,2.667
0.13614,2.667
0.13924,2.667
0.14233,2.667
0.14543,2.667
0.14852,1.687
0.15161,1.667
0.15471,1.667
0.15780,1.667
0.16090,1.667
0.16399,1.667
0.16709,1.667
0.17018,1.667
0.17327,1.667
0.17637,1.667
0.17946,1.667
0.18256,1.667
0.18565,1.667
0.18875,1.667
0.19184,1.667
0.19493,1.667
0.19803,2.639
0.20112,2.667
0.20422,2.667
0.20731,2.667
0.21040,2.667
0.21350,2.667
0.21659,2.667
0.21969,2.667
0.22278,2.667
0.22588,2.667
0.22897,2.667
0.23206,2.667
0.23516,2.667
0.23825,2.667
0.24135,2.667
0.24444,2.667
0.24753,2.667
0.25063,2.667
0.25372,2.667
0.25682,2.667
0.25991,2.667
0.26301,2.667
0.26610,2.667
0.26919,2.667
0.27229,2.667
0.27538,2.667
0.27848,2.667
0.28157,2.667
0.28466,2.667
0.28776,2.667
0.29085,2.667
0.29395,2.667
0.29704,2.667
0.30014,2.667
0.30323,2.667
0.30632,2.667
0.30942,2.667
0.31251,2.667
0.31561,2.667
0.31870,2.667
0.32179,2.667
0.32489,2.667
0.32798,2.667
0.33108,2.667
0.33417,2.667
0.33727,2.667
0.34036,2.667
0.34345,2.667
0.34655,2.667
0.34964,2.667
0.35274,2.667
0.35583,2.667
0.35893,2.667
0.36202,2.667
0.36511,2.667
0.36821,2.667
0.37130,2.667
0.37440,2.667
0.37749,2.667
0.38058,2.667
0.38368,2.667
0.38677,2.667
0.38987,2.667
0.39296,2.667
0.39606,2.667
0.39915,2.667
0.40224,2.667
0.40534,2.667
0.40843,2.667
0.41153,2.667
0.41462,2.667
0.41771,2.667
0.42081,2.667
0.42390,2.667
0.42700,2.667
0.43009,2.667
0.43319,2.667
0.43628,2.667
0.43937,2.667
0.44247,2.667
0.44556,2.667
0.44866,2.667
0.45175,2.667
0.45484,2.667
0.45794,2.667
0.46103,2.667
0.46413,2.667
0.46722,2.667
0.47032,2.667
0.47341,2.667
0.47650,2.667
0.47960,2.667
0.48269,2.667
0.48579,2.667
0.48888,2.667
0.49197,2.667
0.49507,3.853
0.49816,3.995
0.50126,4.000
0.50435,4.000
0.50745,4.000
0.51054,4.000
0.51363,4.000
0.51673,4.000
0.51982,4.655
0.52292,4.680
0.52601,4.654
0.52911,4.973
0.53220,5.000
0.53529,5.000
0.53839,5.000
0.54148,5.000
0.54458,5.000
0.54767,5.000
0.55076,5.000
0.55386,5.000
0.55695,5.000
0.56005,5.000
0.56314,5.000
0.56624,5.000
0.56933,4.078
0.57242,4.000
0.57552,4.000
0.57861,4.000
0.58171,4.000
0.58480,4.000
0.58789,3.387
0.59099,3.333
0.59408,3.945
0.59718,4.000
0.60027,4.000
0.60337,4.000
0.60646,4.000
0.60955,4.000
0.61265,4.000
0.61574,4.000
0.61884,4.000
0.62193,4.000
0.62502,4.000
0.62812,4.000
0.63121,4.000
0.63431,4.000
0.63740,4.000
0.64050,4.000
0.64359,4.000
0.64668,4.000
0.64978,4.000
0.65287,4.000
0.65597,4.000
0.65906,4.000
0.66215,4.000
0.66525,4.000
0.66834,3.395
0.67144,3.333
0.67453,3.938
0.67763,4.000
0.68072,4.000
0.68381,4.000
0.68691,4.000
0.69000,4.000
0.69310,4.000
0.69619,4.000
0.69929,4.000
0.70238,4.178
0.70547,4.919
0.70857,5.000
0.71166,5.000
0.71476,5.000
0.71785,5.000
0.72094,5.000
0.72404,5.000
0.72713,4.995
0.73023,5.288
0.73332,5.314
0.73642,6.128
0.73951,6.187
0.74260,6.193
0.74570,6.172
0.74879,5.417
0.75189,5.333
0.75498,5.333
0.75807,5.333
0.76117,5.333
0.76426,5.333
0.76736,5.333
0.77045,5.333
0.77355,5.333
0.77664,5.333
0.77973,5.333
0.78283,5.333
0.78592,5.333
0.78902,5.333
0.79211,6.198
0.79520,6.287
0.79830,6.983
0.80139,7.045
0.80449,7.020
0.80758,7.286
0.81068,7.891
0.81377,7.943
0.81686,7.918
0.81996,7.892
0.82305,7.866
0.82615,7.686
0.82924,7.667
0.83233,6.890
0.83543,6.764
0.83852,6.675
0.84162,6.372
0.84471,6.333
0.84781,5.450
0.85090,5.333
0.85399,5.333
0.85709,5.333
0.86018,5.333
0.86328,5.333
0.86637,5.333
0.86946,5.333
0.87256,5.333
0.87565,5.333
0.87875,5.333
0.88184,5.333
0.88494,5.333
0.88803,5.333
0.89112,6.503
0.89422,6.667
0.89731,6.667
0.90041,7.543
0.90350,7.667
0.90660,8.113
0.90969,8.602
0.91278,8.667
0.91588,9.045
0.91897,8.718
0.92207,8.667
0.92516,8.667
0.92825,8.667
0.93135,8.667
0.93444,8.667
0.93754,8.667
0.94063,7.796
0.94373,7.667
0.94682,7.667
0.94991,7.667
0.95301,7.667
0.95610,7.667
0.95920,7.667
0.96229,7.667
0.96538,7.667
0.96848,7.665
0.97157,7.663
0.97467,7.667
0.97776,7.667
0.98086,7.667
0.98395,7.667
0.98704,7.667
0.99014,8.242
0.99323,8.562
0.99633,8.589
0.99942,9.008
1.00251,9.294
1.00561,9.333
1.00870,10.194
1.01180,10.333
1.01489,10.333
1.01799,10.333
1.02108,10.333
1.02417,10.333
1.02727,9.475
1.03036,9.333
1.03346,9.333
1.03655,9.333
1.03964,8.140
1.04274,7.923
1.04583,7.701
1.04893,7.667
1.05202,7.667
1.05512,7.097
1.05821,6.788
1.06130,6.744
1.06440,7.530
1.06749,7.667
1.07059,7.755
1.07368,7.753
1.07678,8.333
1.07987,9.196
1.08296,9.333
1.08606,9.333
1.08915,10.184
1.09225,10.333
1.09534,11.140
1.09843,11.258
1.10153,11.318
1.10462,11.333
1.10772,12.052
1.11081,12.156
1.11391,11.456
1.11700,11.333
1.12009,11.118
1.12319,10.445
1.12628,10.333
1.12938,10.333
1.13247,10.133
1.13556,10.079
