Comment: Sweep Frequency: 24 Hz
Time (s),Voltage (V)
0.000000000000000000e+00,2.482277300049375413e+00
4.000000000000000327e-05,2.482935227640499676e+00
8.000000000000000654e-05,2.484086600928810729e+00
1.200000000000000030e-04,2.483922119030181008e+00
1.600000000000000131e-04,2.485566938020975059e+00
2.000000000000000096e-04,2.483922119030181008e+00
2.400000000000000061e-04,2.484909010423458575e+00
2.799999999999999755e-04,2.484580046625299410e+00
3.200000000000000262e-04,2.485073492322687816e+00
3.600000000000000227e-04,2.486060383720162026e+00
4.000000000000000192e-04,2.486553829420249162e+00
4.400000000000000157e-04,2.486882793220806853e+00
4.800000000000000122e-04,2.486224865620091151e+00
5.199999999999999544e-04,2.487047275121236023e+00
5.599999999999999509e-04,2.487376238922393679e+00
5.999999999999999474e-04,2.487376238922393679e+00
6.400000000000000524e-04,2.488198648427039750e+00
6.800000000000000488e-04,2.488856576032557832e+00
7.200000000000000453e-04,2.488856576032557832e+00
7.600000000000000418e-04,2.490830358858723503e+00
8.000000000000000383e-04,2.490830358858723503e+00
8.400000000000000348e-04,2.491981732180648113e+00
8.800000000000000313e-04,2.491817250277215567e+00
9.200000000000000278e-04,2.491981732180648113e+00
9.600000000000000243e-04,2.491817250277215567e+00
1.000000000000000021e-03,2.493297587411719807e+00
1.039999999999999909e-03,2.492639659795381935e+00
1.080000000000000014e-03,2.493626551220490040e+00
1.119999999999999902e-03,2.493791033125026146e+00
1.160000000000000007e-03,2.494284478839234875e+00
1.199999999999999895e-03,2.494613442649209922e+00
1.240000000000000000e-03,2.494448960744172439e+00
1.280000000000000105e-03,2.496422743611245831e+00
1.319999999999999993e-03,2.494942406459585538e+00
1.360000000000000098e-03,2.496093779799062773e+00
1.399999999999999986e-03,2.494448960744172439e+00
1.440000000000000091e-03,2.496422743611245831e+00
1.479999999999999979e-03,2.495106888364924114e+00
1.520000000000000084e-03,2.496916189330273372e+00
1.559999999999999972e-03,2.495764815987281615e+00
1.600000000000000077e-03,2.496093779799062773e+00
1.639999999999999965e-03,2.496587225517488129e+00
1.680000000000000070e-03,2.496751707423830346e+00
1.719999999999999958e-03,2.497903080771040507e+00
1.760000000000000063e-03,2.497080671236816762e+00
1.799999999999999951e-03,2.498889972215425637e+00
1.840000000000000056e-03,2.496916189330273372e+00
1.879999999999999944e-03,2.498725490307776909e+00
1.920000000000000049e-03,2.499383417938975338e+00
