Distance_(unit),Gray_Value
0.0000,64.333
0.0031,66.333
0.0062,63.335
0.0093,63.175
0.0124,65.802
0.0155,64.806
0.0186,61.814
0.0217,58.525
0.0248,55.129
0.0278,52.863
0.0309,52.071
0.0340,51.625
0.0371,51.651
0.0402,50.681
0.0433,41.479
0.0464,41.935
0.0495,45.050
0.0526,43.442
0.0557,49.352
0.0588,58.786
0.0619,59.560
0.0650,60.327
0.0681,57.755
0.0712,59.266
0.0743,56.608
0.0774,61.967
0.0804,65.081
0.0835,62.686
0.0866,63.328
0.0897,60.886
0.0928,62.698
0.0959,59.997
0.0990,56.671
0.1021,56.588
0.1052,53.163
0.1083,56.081
0.1114,59.588
0.1145,48.770
0.1176,43.395
0.1207,51.371
0.1238,50.575
0.1269,56.020
0.1300,51.721
0.1330,42.307
0.1361,48.763
0.1392,48.389
0.1423,48.039
0.1454,49.046
0.1485,47.496
0.1516,49.638
0.1547,55.550
0.1578,59.268
0.1609,59.169
0.1640,59.463
0.1671,63.320
0.1702,59.815
0.1733,60.614
0.1764,59.266
0.1795,54.024
0.1826,56.075
0.1857,59.675
0.1887,54.687
0.1918,54.116
0.1949,55.641
0.1980,60.200
0.2011,54.890
0.2042,49.778
0.2073,51.095
0.2104,52.438
0.2135,58.205
0.2166,52.845
0.2197,54.923
0.2228,51.690
0.2259,48.809
0.2290,45.485
0.2321,47.343
0.2352,54.123
0.2383,51.287
0.2413,59.240
0.2444,66.767
0.2475,62.010
0.2506,55.798
0.2537,59.752
0.2568,60.652
0.2599,62.189
0.2630,66.824
0.2661,58.173
0.2692,68.082
0.2723,72.256
0.2754,65.848
0.2785,61.912
0.2816,58.601
0.2847,58.732
0.2878,61.870
0.2909,59.814
0.2939,55.045
0.2970,53.079
0.3001,51.806
0.3032,58.420
0.3063,52.329
0.3094,52.800
0.3125,56.551
0.3156,50.521
0.3187,58.298
0.3218,57.691
0.3249,55.785
0.3280,57.761
0.3311,58.048
0.3342,60.723
0.3373,64.268
0.3404,67.798
0.3435,70.031
0.3465,69.259
0.3496,63.547
0.3527,61.383
0.3558,67.718
0.3589,69.859
0.3620,63.296
0.3651,61.901
0.3682,66.585
0.3713,62.608
0.3744,62.727
0.3775,61.562
0.3806,55.293
0.3837,55.809
0.3868,58.011
0.3899,52.208
0.3930,52.965
0.3961,51.294
0.3991,48.854
0.4022,47.060
0.4053,45.519
0.4084,46.794
0.4115,50.141
0.4146,54.739
0.4177,58.446
0.4208,57.238
0.4239,60.730
0.4270,65.158
0.4301,68.838
0.4332,74.163
0.4363,71.162
0.4394,73.069
0.4425,77.698
0.4456,71.986
0.4487,69.750
0.4518,71.063
0.4548,69.944
0.4579,73.730
0.4610,72.753
0.4641,72.635
0.4672,73.640
0.4703,60.401
0.4734,74.878
0.4765,76.272
0.4796,67.542
0.4827,75.188
0.4858,80.823
0.4889,81.384
0.4920,72.578
0.4951,76.267
0.4982,80.091
0.5013,79.472
0.5044,75.333
0.5074,76.580
0.5105,70.214
