Distance_(mm),Gray_Value
0.0000,25.533
0.0175,25.650
0.0350,26.240
0.0526,27.037
0.0701,27.897
0.0876,28.212
0.1051,27.928
0.1226,27.554
0.1402,26.466
0.1577,26.594
0.1752,26.965
0.1927,27.459
0.2102,28.295
0.2278,29.345
0.2453,30.233
0.2628,30.766
0.2803,30.602
0.2978,30.678
0.3154,30.377
0.3329,30.546
0.3504,30.515
0.3679,30.741
0.3854,31.106
0.4030,31.061
0.4205,30.755
0.4380,30.658
0.4555,30.720
0.4730,30.759
0.4905,30.868
0.5081,30.941
0.5256,30.916
0.5431,31.138
0.5606,30.303
0.5781,30.277
0.5957,29.877
0.6132,29.276
0.6307,28.360
0.6482,28.036
0.6657,28.162
0.6833,28.625
0.7008,29.461
0.7183,29.825
0.7358,29.694
0.7533,29.308
0.7709,28.808
0.7884,28.291
0.8059,28.094
0.8234,28.195
0.8409,28.126
0.8585,28.347
0.8760,29.071
0.8935,29.511
0.9110,29.687
0.9285,29.659
0.9461,29.725
0.9636,29.778
0.9811,29.620
0.9986,29.241
1.0161,28.855
1.0337,28.309
1.0512,27.830
1.0687,27.305
1.0862,26.970
1.1037,26.793
1.1213,26.861
1.1388,26.788
1.1563,26.714
1.1738,26.680
1.1913,26.736
1.2089,26.723
1.2264,26.695
1.2439,26.632
1.2614,26.680
1.2789,26.598
1.2965,26.359
1.3140,26.295
1.3315,26.018
1.3490,25.862
1.3665,25.815
1.3840,25.730
1.4016,25.345
1.4191,25.292
1.4366,24.935
1.4541,24.939
1.4716,24.655
1.4892,24.423
1.5067,24.217
1.5242,24.083
1.5417,23.113
1.5592,22.833
1.5768,22.852
1.5943,22.961
1.6118,23.413
1.6293,24.034
1.6468,24.834
1.6644,25.176
1.6819,25.443
1.6994,25.664
1.7169,26.026
1.7344,26.143
1.7520,26.407
1.7695,26.688
1.7870,26.851
1.8045,27.037
1.8220,27.940
1.8396,28.414
1.8571,28.719
1.8746,28.666
1.8921,28.533
1.9096,28.675
1.9272,29.049
1.9447,29.687
1.9622,30.377
1.9797,30.584
1.9972,30.810
2.0148,30.971
2.0323,30.958
2.0498,30.761
2.0673,30.350
2.0848,30.212
2.1024,30.555
2.1199,30.710
2.1374,30.845
2.1549,30.940
2.1724,31.184
2.1900,31.480
2.2075,31.476
2.2250,31.528
2.2425,31.433
2.2600,31.203
2.2775,30.690
2.2951,30.193
2.3126,29.506
2.3301,28.992
2.3476,28.486
2.3651,28.328
2.3827,28.055
2.4002,27.731
2.4177,27.279
2.4352,26.757
2.4527,26.147
2.4703,25.480
2.4878,25.141
2.5053,25.007
2.5228,25.194
2.5403,25.066
2.5579,24.787
2.5754,24.447
2.5929,23.969
2.6104,23.605
2.6279,23.316
2.6455,23.064
2.6630,23.013
2.6805,22.958
2.6980,23.023
2.7155,23.090
2.7331,23.174
2.7506,23.149
2.7681,23.217
2.7856,23.323
2.8031,23.367
2.8207,23.456
2.8382,23.667
2.8557,23.776
2.8732,23.821
2.8907,23.967
2.9083,24.177
2.9258,24.271
2.9433,24.621
2.9608,24.930
2.9783,25.317
2.9959,25.743
3.0134,26.105
