Distance_(mm),Gray_Value
0.0000,14.846
0.0175,14.827
0.0350,14.788
0.0526,14.528
0.0701,14.501
0.0876,14.475
0.1051,14.441
0.1226,14.379
0.1402,14.225
0.1577,14.179
0.1752,14.138
0.1927,14.145
0.2102,14.096
0.2278,14.037
0.2453,14.060
0.2628,14.066
0.2803,14.406
0.2978,14.413
0.3154,14.330
0.3329,14.165
0.3504,13.986
0.3679,13.888
0.3854,13.660
0.4030,13.501
0.4205,13.407
0.4380,13.393
0.4555,13.224
0.4730,13.147
0.4905,13.023
0.5081,12.961
0.5256,12.917
0.5431,12.840
0.5606,12.747
0.5781,12.980
0.5957,13.063
0.6132,13.377
0.6307,13.582
0.6482,13.930
0.6657,14.189
0.6833,14.301
0.7008,14.906
0.7183,15.209
0.7358,15.273
0.7533,15.323
0.7709,15.415
0.7884,15.501
0.8059,15.529
0.8234,15.611
0.8409,15.662
0.8585,15.799
0.8760,15.865
0.8935,15.907
0.9110,15.882
0.9285,16.231
0.9461,16.828
0.9636,17.489
0.9811,18.260
0.9986,18.631
1.0161,18.582
1.0337,18.531
1.0512,18.298
1.0687,18.118
1.0862,18.020
1.1037,17.774
1.1213,17.380
1.1388,17.314
1.1563,17.272
1.1738,17.204
1.1913,17.287
1.2089,17.247
1.2264,17.072
1.2439,17.013
1.2614,16.902
1.2789,16.675
1.2965,16.675
1.3140,16.603
1.3315,16.467
1.3490,16.394
1.3665,16.234
1.3840,16.255
1.4016,16.661
1.4191,16.681
1.4366,16.742
1.4541,16.741
1.4716,16.853
1.4892,17.077
1.5067,17.119
1.5242,17.181
1.5417,17.231
1.5592,17.025
1.5768,16.880
1.5943,16.711
1.6118,16.578
1.6293,16.512
1.6468,16.434
1.6644,16.320
1.6819,16.419
1.6994,16.477
1.7169,16.573
1.7344,16.877
1.7520,17.198
1.7695,17.591
1.7870,17.667
1.8045,17.727
1.8220,17.744
1.8396,17.802
1.8571,17.856
1.8746,18.016
1.8921,18.124
1.9096,18.201
1.9272,18.168
1.9447,18.226
1.9622,19.015
1.9797,19.258
1.9972,19.439
2.0148,19.727
2.0323,20.035
2.0498,20.497
2.0673,20.712
2.0848,20.942
2.1024,20.777
2.1199,20.812
2.1374,20.847
2.1549,21.043
2.1724,21.287
2.1900,21.654
2.2075,21.964
2.2250,22.050
2.2425,22.472
2.2600,22.551
2.2775,22.698
2.2951,22.730
2.3126,23.008
2.3301,23.228
2.3476,23.336
2.3651,23.410
2.3827,23.711
2.4002,23.673
2.4177,23.477
2.4352,23.289
2.4527,23.088
2.4703,22.905
2.4878,22.814
2.5053,22.708
2.5228,23.306
2.5403,23.712
2.5579,23.724
2.5754,23.854
2.5929,24.072
2.6104,24.118
2.6279,24.209
2.6455,24.248
2.6630,24.275
2.6805,24.404
2.6980,24.429
2.7155,24.507
2.7331,24.649
2.7506,24.555
2.7681,24.616
2.7856,24.631
2.8031,24.788
2.8207,25.009
2.8382,25.021
2.8557,25.119
2.8732,25.155
2.8907,25.264
2.9083,25.150
2.9258,25.070
2.9433,24.393
2.9608,24.433
2.9783,24.338
2.9959,23.926
3.0134,23.320
3.0309,23.021
3.0484,23.042
3.0659,23.071
3.0835,22.339
3.1010,22.050
3.1185,21.802
3.1360,21.549
3.1535,21.099
3.1710,20.659
3.1886,20.424
3.2061,20.384
3.2236,20.324
3.2411,20.033
3.2586,19.590
3.2762,19.011
3.2937,18.366
3.3112,17.872
3.3287,17.438
3.3462,17.162
3.3638,16.407
3.3813,16.064
3.3988,16.090
3.4163,16.089
3.4338,16.016
3.4514,15.946
3.4689,15.797
3.4864,15.714
3.5039,15.657
3.5214,15.636
3.5390,15.704
3.5565,15.696
3.5740,15.731
3.5915,15.824
3.6090,15.849
3.6266,15.890
3.6441,16.218
3.6616,16.354
3.6791,16.815
3.6966,17.442
3.7142,18.189
3.7317,18.629
3.7492,19.072
3.7667,19.362
